"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"1","Alabama Power Company","Alabama","01-010","184720929","22308151","150605","265405087"
"2","Alabama Water Service Company","Alabama","01-021","3382059","463001","4678","200100"
"3","Baldwin County Power Company","Alabama","01-032","62618","31170","437","770360"
"4","Birmingham Electric Company","Alabama","01-043","16265235","5279887","75273","370769858"
"5","Interstate Utilities Co.","Alabama","01-087","163221","24091",NA,NA
"6","Liddell Power Company","Alabama","01-098",NA,NA,NA,NA
"7","Riviera Utilities Corporation","Alabama","01-131","399991","102052","1211","4188000"
"8","Tuskegee Light & Power Company*","Alabama","01-164",NA,NA,NA,NA
"9","ing 1941and company dissolved.","Alabama","01-670",NA,"93770","1123","4788160"
"10","Alabama Marble Company","Alabama","01-205",NA,"1686","70",NA
"11","Avondale Mills","Alabama","01-210",NA,"10626","823",NA
"12","Bessemer Coal, Iron & Land Co.","Alabama","01-221","5000","1180","57",NA
"13","Danville Knitting Mills, Inc.","Alabama","01-224",NA,NA,NA,NA
"14","Little Cahaba Coal Company","Alabama","01-243",NA,NA,NA,NA
"15","W. M. McGowin Lumber Co., Inc.","Alabama","01-245","200",NA,"20",NA
"16","Mount Vernon-Woodberry","Alabama","01-247",NA,"32299","930",NA
"17","T. R. Miller Mill Company, Inc.","Alabama","01-248",NA,NA,NA,NA
"18","Newcastle Coal Company","Alabama","01-254",NA,NA,NA,NA
"19","Planters Chemical and Oil","Alabama","01-265",NA,NA,NA,NA
"20","Roden Coal Company","Alabama","01-276",NA,NA,NA,NA
"21","Sloss-Sheffield Steel & Iron","Alabama","01-287","1062141","118966","1",NA
"22","International Paper Company","Alabama","01-298",NA,NA,NA,NA
"23","Tennessee Coal, Iron and Railroad","Alabama","01-320",NA,NA,NA,NA
"24","Vredenburgh Sawmill Company","Alabama","01-331","40000",NA,"05",NA
"25","West Point Manufacturing","Alabama","01-340","293127","99765","2991",NA
"26","* City of Albertville Electric","Alabama","01-507","156154","69000","1024","7136657"
"27","•Alexander City Electric Light","Alabama","01-510","47500",NA,NA,"1731560"
"28","*City of Athens, Light","Alabama","01-521","457430","10693","2323","7499"
"29","*Bessemer Electric Service""","Alabama","01-525","1361","100","3384","6071628"
"30","""Town of Courtland, Electric","Alabama","01-530","30017","5662","210","298000"
"31","*CuIIman Light and Water Plant","Alabama","01-532","422223","132715",NA,NA
"32","*City of Decatur Electric Depart","Alabama","01-540","550431","295868",NA,"28158508"
"33","*Dothan Water & Electric","Alabama","01-543","286252","292995",NA,"10358400"
"34","*Evergreen Electric System","Alabama","01-554",NA,"32400","523",NA
"35","*Town of Fairhope","Alabama","01-565",NA,NA,"614",NA
"36","*City of Florence, Electricity","Alabama","01-570","472975","210288","2980","14529333"
"37","*Improvement Authority, City of","Alabama","01-572","140262","31689","1284","1981200"
"38","*Guntersville Municipal","Alabama","01-574","141583","75392","1019","7570100"
