State,Private Production (kWh),Private Capacity (kW),Public Production (kWh),Public Capacity (kW),Total Production (kWh),Total Capacity (kW),Year
United States,1.81825E+11,39871613,39144022000,9432940,2.2097E+11,49304553,1943
New England,11940068000,3330063,247706000,117553,12187771000,3447616,1943
Middle Atlantic,48523269000,10212465,2052752000,766833,50576021000,10979298,1943
East North Central,17760293000,10153664,2624111000,980343,50384404000,11134007,1943
West North Central,9559340000,2673574,1977442000,858730,11536782000,3532304,1943
South Atlantic,25131278000,5634400,1895285000,594160,27026563000,6228560,1943
East South Central,5723062000,1269870,9451717000,1779985,15174779000,3049855,1943
West South Central,11089974000,2051275,1830624000,535118,12920598000,2586393,1943
Mountain,5662034000,1273338,7178156000,1317106,12840190000,2590444,1943
Pacific,16436181000,3272964,11886220000,2483112,28322410000,5756076,1943
Maine,1319701000,337452,11127000,2692,1330828000,340144,1943
New Hampshire,982026000,313135,1288000,1780,986314000,314915,1943
Vermont,768104000,170297,27587000,9222,795691000,179519,1943
Massachusetts,4626565000,1424508,151611000,74609,4778176000,1499117,1943
Rhode Island,924795000,276421,10103000,8300,964898000,284721,1943
Connecticut,3318877000,808250,12990000,20950,3331867000,829200,1943
New York,23834313000,5259062,1911707000,701360,25716020000,5960422,1943
New Jersey,7297225000,1560970,38236000,17217,7335461000,1578187,1943
Pennsylvania,17391731000,3392933,102809000,18256,17494540000,3440689,1943
Ohio,14341319000,2843425,661550000,253717,15002869000,3097142,1943
Indiana,6371715000,1157607,517348000,219034,6889063000,1376641,1943
Illinois,13159042000,2929124,329300000,137603,13488342000,3066727,1943
Michigan,9374158000,2093678,887227060,295892,10261385000,2389570,1943
Wisconsin,4514059000,1129830,228686000,71097,4742715000,1203927,1943
Minnesota,2327422000,673875,262666000,128479,2590088000,802354,1943
Iowa,2511849000,629637,230680000,115590,2742729000,745227,1943
Missouri,2269552000,749467,198573000,101863,2468125000,854330,1943
North Dakota,203990000,89099,23900000,11266,267890000,100365,1943
South Dakota,180208000,70117,49490000,22774,229707000,92891,1943
Nebraska,445182000,113988,741882000,302631,1187064000,416619,1943
Kansas,1581137000,347391,470092000,176127,2051179900,523518,1943
Delaware,3198000,28200,19092000,10712,22290000,38912,1943
Maryland,3960534000,784117,39832000,19312,1000366000,803429,1943
District of Columbia,1748376000,105000,7535000,3000,1755911000,408000,1943
Virginia,2979071000,642175,105672000,43101,3084743000,685276,1943
West Virginia,5717165000,999645,1243000,470,5718408000,1000115,1943
North Carolina,4480799000,1202645,490914000,135443,4971713000,1338088,1943
South Carolina,1781510000,629603,667840000,162945,2449350000,792508,1943
Georgia,2989155000,623344,112500000,43387,3101655000,666731,1943
Florida,1471470000,319671,150657000,175790,1922127000,195461,1943
Kentucky,1893555000,414417,144654000,45730,2038209000,460147,1943
Tennessee,422276000,87343,5799522000,1064700,6221798000,1152043,1943
Alabama,3352799000,735932,3393173000,607640,6745972000,1343572,1943
Mississippi,54432000,32178,411368000,61915,168800000,94093,1943
Arkansas,424948000,164298,46356000,25127,471394000,189425,1943
Louisiana,2793136000,467124,183436000,77079,2976572000,544203,1943
Oklahoma,1861886000,355212,432995000,111684,2294881000,486896,1943
Texas,6.01E+09,1064641,1167837000,321228,7177841000,1385869,1943
Montana,2473225000,338357,123861000,35467,2597086000,373824,1943
Idaho,1116656000,232476,221527000,37837,1338183000,270313,1943
Wyoming,64001000,39129,226537000,50296,290538000,89425,1943
Colorado,925645000,283909,171624000,69293,1097269000,353202,1943
New Mexico,343509000,116208,127422000,30402,470931000,46610,1943
Arizona,106780000,104693,3091991000,572066,3198771000,676759,1943
Utah,547342000,143944,71938000,24953,619280000,168897,1943
Nevada,84876000,14622,3143256000,496792,3228132000,511411,1943
Washington,3185641000,552046,5741088000,1166259,8926679000,1718305,1943
Oregon,1278542000,359541,3340828000,548596,4619370000,908137,1943
California,11971998000,2361377,2804363000,768257,14776361000,3129634,1943
United States,18689988000,40209058,43916500000,10066319,2.30736E+11,50275377,1944
New England,1266363000,3318408,311467000,130903,1.24278E+11,344931,1944
Middle Atlantic,47792419000,10234847,1987091000,771883,49779510000,11006730,1944
East North Central,50881819000,10330062,2800115000,988103,53681934000,11318165,1944
West North Central,10131414000,2703284,2132859000,863331,12264273000,3566615,1944
South Atlantic,26014684000,5728031,2168631000,611848,28183315000,6339879,1944
East South Central,5836575000,1225619,10324654000,1947619,16161229000,3173238,1944
West South Central,12265158000,2036424,1889159000,611253,46154317000,2617677,1944
Mountain,5278527000,1253269,7770661000,400207,1304988000,2653476,1944
Pacific,16453029000,337914,14531863000,2741172,30984892000,6120286,1944
Maine,1326649000,336212,11307000,2692,1337956000,338904,1944
New Hampshire,875426000,320995,4079000,1780,879505000,322775,1944
Vermont,563628000,66347,28036000,9822,591664000,76169,1944
Massachusetts,4850637000,14112223,159223000,74859,5009860000,1487082,1944
Rhode Island,1088999000,276421,78121000,13300,1167120000,289721,1944
Connecticut,3461024000,806210,30701000,28450,3491725000,834660,1944
New York,22582062000,5236989,1844952000,706360,24427014000,5943349,1944
New Jersey,7684776000,544940,38336000,17217,772312000,1562157,1944
Pennsylvania,17525581000,452918,103803000,48306,17629384000,3501224,1944
Ohio,15388909000,2886145,703704000,257977,16092613000,314422,1944
Indiana,173529000,1324237,540357000,224555,7653886000,1548792,1944
Illinois,13978209000,2906434,396896000,137604,14375105000,3044038,1944
Michigan,9686335000,2085604,922658000,296092,10608993000,2381696,1944
Wisconsin,4714837000,1127642,236500000,71875,1951337000,1199517,1944
Minnesota,2389619000,703975,287588000,130184,2677207000,834459,1944
Iowa,2542516000,640435,299203000,116687,2791719000,757122,1944
Missouri,2525041000,741976,227659000,102729,2752700000,844705,1944
North Dakota,262446000,88999,26813000,11266,289258000,100265,1944
South Dakota,895260001,70198,51167000,23000,240693000,93198,1944
Nebraska,543501000,113828,739601000,303339,1283020001,741167,1944
Kansas,1678766000,343873,550828000,175826,2229594000,519699,1944
Delaware,13026000,28200,22617000,10712,35643000,38912,1944
Maryland,4077487000,836087,45561000,26312,4123028000,862399,1944
District of Columbia,1904907000,405000,7322000,3000,1912229000,408000,1944
Virginia,3483439000,798290,108992000,43476,3592131000,841766,1944
West Virginia,5945380000,996735,1319000,470,5946699000,997205,1944
North Carolina,3969948000,1077315,474205000,137273,4444153000,1214588,1944
South Carolina,1866675000,629524,640818000,162945,2507493000,792489,1944
Georgia,3065077000,613789,104789000,43388,3169866000,657177,1944
Florida,1688765000,343091,763008000,184272,2451773000,527363,1944
Kentucky,1911710000,412451,237004000,109790,2148714000,522241,1944
Tennessee,398531000,84673,6594434000,186790,6992965000,1271463,1944
Alabama,3484857000,704539,3404561000,619123,6889418000,1323662,1944
Mississippi,41177000,23956,88655000,31916,130132000,55872,1944
Arkansas,647707000,162027,65509000,60127,713216000,222154,1944
Louisiana,3183292000,463218,203664000,80927,3386956000,544145,1944
Oklahoma,1957450000,347355,485453000,112261,2142903000,459616,1944
Texas,6476709000,1062824,1134533000,357938,7612420001,1421762,1944
Montana,2312585000,337811,47196000,35577,2459781000,373388,1944
Idaho,1038493000,232197,95271000,35862,1233764000,268059,1944
Wyoming,63322000,32654,92253000,50057,255575000,82711,1944
Colorado,951907000,280613,84924000,70997,1136831000,351610,1944
New Mexico,378393000,118607,132772000,30902,565000,148509,1944
Arizona,108036000,96958,3662631000,572566,3770667000,663524,1944
Utah,360599000,143944,76344000,24954,646943000,68898,1944
Nevada,65192000,10485,3179270000,579292,3244462000,589777,1944
Washington,2805687000,549664,7506210000,1274259,10311897000,1823725,1944
Oregon,1100232000,353673,3685307000,548656,4785539000,902329,1944
California,12547000011,2475975,3340346000,918257,15887456000,3394232,1944
United States,1.80926E+11,40307179,41660366000,9803749,2.22486E+11,50110928,1945
New England,11521356000,3078824,283185000,118763,11804841000,3197587,1945
Middle Atlantic,46231952000,10347252,4146200000,162636,16678152000,10509888,1945
East North Central,48056481,10499808,2864448000,1006528,50920929000,11506336,1945
West North Central,10107868000,2561361,2319715000,901289,12727583000,31965650,1945
South Atlantic,25803078000,5810558,2481115000,746367,28284523000,6556925,1945
East South Central,5790866000,1355000,10806217000,2079039,1659613000,3434079,1945
West South Central,11527841000,2053582,2154403000,640378,13682244000,2693960,1945
Mountain,5194650000,1235943,6779071000,1410782,11973721000,2646725,1945
Pacific,16391825000,3364811,13126352000,2734967,29818177000,6099778,1945
Maine,1337389000,329332,11168000,2692,1348857000,332024,1945
New Hampshire,1033787000,303021,4156000,1780,1038243000,,1945
Vermont,801183000,164907,30627000,9732,831810000,174639,1945
