"","states_vec","total_vec","hydro_vec","steam_vec","ic_vec"
"1","United States",49304553,14066970,34178253,1059330
"2","New England",3447616,905751,2517210,24655
"3","Middle Atlantic",10979298,1594238,9344652,40408
"4","East North Central",11134007,749871,10256803,127333
"5","West North Central",3532304,597919,2565938,368447
"6","South Atlantic",6228560,2210727,3927405,90428
"7","East South Central",3049855,1851650,1173857,24348
"8","West South Central",2586393,301097,2065778,219518
"9","Mountain",2590444,1924155,558148,108141
"10","Pacific",5756076,3931562,1768462,56052
"11","Maine",3401444,249637,87240,3267
"12","New Hampshire",314915,232905,80430,1580
"13","Vermont",179519,165077,13750,692
"14","Massachusetts",149917,166332,1321790,10995
"15","Rhode Island",284721,3250,278450,3021
"16","Connecticut",829200,88550,735550,5100
"17","New York",5960422,1161993,1772175,26254
"18","New Jersey",1578187,7610,1566640,3937
"19","Pennsylvania",3440689,424635,3005837,10217
"20","Ohio",3097142,12125,3068219,16798
"21","Indiana",1376641,35494,132215,19032
"22","Illinois",3066727,52166,2991204,23357
"23","Michigan",2389570,369675,1973325,46570
"24","Wisconsin",1203927,280411,901940,21576
"25","Minnesota",802354,156384,59858,17386
"26","Iowa",745227,131223,520415,93589
"27","Missouri",851330,158370,637243,55717
"28","North Dakota",100365,NA,89338,11027
"29","South Dakota",92891,3270,55112,34509
"30","Nebraska",416619,111935,220266,54418
"31","Kansas",523518,6737,444980,71801
"32","Delaware",38912,NA,33200,5712
"33","Maryland",803429,271325,523055,9049
"34","District of Columbia",108000,3000,105000,NA
"35","Virginia",685276,181444,489490,14342
"36","West Virginia",1000115,100980,894380,4755
"37","North Carolina",1338088,647500,67972,10827
"38","South Carolina",792518,650723,137330,4495
"39","Georgia",666731,343022,321375,2334
"40","Florida",495461,12693,442854,38914
"41","Kentucky",160117,110860,346160,3127
"42","Tennessee",1152043,781187,369020,1836
"43","Alabama",1343572,959603,379360,1609
"44","Mississippi",94093,NA,79317,11776
"45","Arkansas",189425,67008,101580,7837
"46","Louisiana",514203,NA,497670,16533
"47","Oklahoma",166896,59224,352778,54894
"48","Texas",1385869,174865,1110750,100254
"49","Montana",373824,358473,12318,3033
"50","Idaho",270313,266100,620,3593
"51","Wyoming",89425,19690,34207,5528
"52","Colorado",353202,87985,248499,16718
"53","New Mexico",146610,25157,99879,21574
"54","Arizona",676759,540790,92325,13644
"55","Utah",168897,92185,66250,10462
"56","Nevada",511414,503775,4050,3589
"57","Washington",1718305,1512410,203870,2025
"58","Oregon",908137,712727,190640,1770
"59","California",3129634,1706425,1373952,49257
