"","states_vec","total_vec","hydro_vec","steam_vec","ic_vec"
"1","United States",220969521000,73942550000,145268233000,1758738000
"2","New England",12187774000,3817544000,8331768000,38462000
"3","Middle Atlantic",50576021000,9755751000,40756994000,63276000
"4","East North Central",50384104000,3569215000,46570762000,244427000
"5","West North Central",11536782000,2961344000,7918909000,656529000
"6","South Atlantic",27026563000,7851946000,19020219000,154398000
"7","East South Central",15174779000,10071994000,5074194000,28591000
"8","West South Central",12920598000,899546000,11606573000,414479000
"9","Mountain",12840190000,11121462000,1569836000,414479000
"10","Pacific",28322410000,23893748000,1418978000,9684000
"11","Maine",1330828000,1214526000,111434000,4868000
"12","New Hampshire",986314000,796904000,187410000,2e+06
"13","Wermont",795691000,791408000,223000,1060000
"14","Massachusetts",1778176000,702384000,1048769000,27023000
"15","Rhode Island",964898000,8192000,954072000,2334000
"16","Connecticut",3331867000,300830000,3029860000,1177000
"17","New York",25716020000,7820306000,17884259000,41455000
"18","New Jersey",7335161000,33758000,7295992000,5711000
"19","Pennsylvania",17494540000,1901687000,15576743000,16110000
"20","Ohio",15002869000,31920000,14937817000,33132000
"21","Indiana",6889063000,161843000,6687747000,39473000
"22","| l l inois",13188342000,203294000,13237353000,47695000
"23","Michigan",10261385000,1679610000,8503723000,78052000
"24","Wiscons in",4742745000,1492548000,32014122000,46075000
"25","Minnesota",2590088000,936347000,1561726000,92015000
"26","lowa",2712729000,966821000,1596559000,179349000
"27","Missouri",2468125000,485104000,1871864000,108157000
"28","North Dakota",267890000,NA,252988000,14902000
"29","South Dakota",229707000,12729000,165149000,51829000
"30","Nebraska",1187064000,544548000,570038000,72178000
"31","Kansas",2051179000,15795000,1897585000,137799000
"32","De laware",22290000,NA,14746000,7544000
"33","Maryland",4000366000,1126280000,2560373000,13713000
"34","District of Columbia",1755911000,7535000,1748376,NA
"35","Wirginia",3084743000,584280000,2471171000,25992000
"36","West Virginia",5718408000,391833000,5325785000,790000
"37","North Carolina",4971713000,1911251000,3039366000,21096000
"38","South Carolina",2449350000,2071322000,366622000,8406000
"39","Georgia",3101655000,1421150000,1673102000,4103000
"40","Florida",1922127000,31995000,1817378000,72751000
"41","Kentucky",2038209000,399814000,1634904000,3191000
"42","Tennessee",6221798000,1378035000,1840945000,2818000
"43","Alabama",6745972000,5294115000,1146618000,5209000
"44","Mississippi",168800000,NA,151727000,17073000
"45","Arkansas",471304000,86963000,352903000,31438000
"46","Louisiana",2976572000,NA,2854128000,122444000
"47","Oklahoma",2294881000,313946000,1879284000,101651000
"48","Texas",7177841000,198637000,6520258000,158946000
"49","Montana",2597086000,2558758000,33547000,4781000
"50","| daho",1338183000,1336567000,567000,1049000
"51","Wyoming",290538000,228638000,56852000,5018000
"52","Colorado",1097269000,305823000,755014000,36432000
"53","New Mexico",470931000,118613000,314080000,38238000
"54","Arizona",3198771000,3023509000,127775000,47487000
"55","Utah",619280000,342111000,264340000,12829000
"56","Nevada",3228132000,3207443000,17661000,3028000
"57","Washington",8926679000,8634389000,290116000,2144000
"58","Oregon",4619370000,4400243000,218136000,691000
"59","California",14776361000,10859116000,3910396000,6849000
